entry_mode,stop_buffer,trail,rs_min,signals,filled,win_rate,avg_win,avg_loss,wl_ratio,expectancy_eur,profit_factor,cagr,max_dd,sharpe,sortino,exposure,turnover,longest_loss_streak,verdict,cost_commission,cost_spread_slip,cost_fx,cost_gap_loss
reclaim,0.0,3.5,70,1481,148,0.28378378378378377,252.16853197165597,-72.17097381797582,3.4940436387578253,19.87131836556834,1.384432385168195,0.015825063623652325,-0.059592304961253006,-0.07576092094343456,-0.09397838767853366,0.6168658698539177,1.9607526599718181,12,,265.23,470.69,472.57,418.92
reclaim,0.0,3.5,75,1481,131,0.32061068702290074,291.4313402802562,-79.55206547714401,3.6634038165104204,39.38917911683162,1.7287973066678386,0.026965671471870456,-0.06563939706379052,0.165923333674123,0.19375638374918497,0.601593625498008,1.8103597274464325,11,,235.27,435.71,438.66,353.19
reclaim,0.0,3.5,80,1481,123,0.3252032520325203,300.39935369000113,-82.66654118616027,3.6338686653590497,41.90773357031498,1.7512620074019516,0.026886763359190713,-0.06708486537418967,0.1667905971750882,0.1879333748299478,0.5969455511288181,1.6290254852782018,7,,221.06,392.55,395.47,408.18
reclaim,0.0,3.5,85,1481,105,0.3047619047619048,363.9500796616956,-81.49025008434523,4.466179442141786,54.26299326682911,1.9577772897059882,0.029532531067286705,-0.0545234022329254,0.21988402927746967,0.24172969726857096,0.601593625498008,1.4072232298636096,11,,189.01,340.62,343.76,398.92
reclaim,0.0,3.5,90,1481,78,0.32051282051282054,335.94294008000065,-91.72448013334609,3.6625221488485695,45.348410960675295,1.7276047871927214,0.01882520586594616,-0.056188620501404496,-0.013533816912704702,-0.013623286420159562,0.5112881806108898,1.083358689448595,9,,141.11,263.95,265.95,292.43
reclaim,0.25,2.5,70,1412,175,0.3142857142857143,209.65791282829417,-67.15766387160146,3.1218762050618456,19.841517376937162,1.4308599273200127,0.018542289051388217,-0.04358234822937557,-0.024064741486944166,-0.027654828077284522,0.5922974767596282,2.2621975810543313,11,,314.1,544.45,546.66,808.2
reclaim,0.25,2.5,75,1412,151,0.31125827814569534,236.27070054029383,-66.59053310552349,3.548112464663477,27.677532996154746,1.6034739022998405,0.022110964280972256,-0.056552032209756686,0.06844482268349852,0.07489261704343098,0.5644090305444888,1.9426496029778104,11,,271.4,468.34,470.84,714.62
reclaim,0.25,2.5,80,1412,137,0.29927007299270075,235.6730311382523,-66.70165284836821,3.533241247769437,23.790040899452514,1.5089884495681969,0.017426970103556094,-0.05377368720279729,-0.05814650612687076,-0.062486331422191926,0.5438247011952191,1.6994270088856824,10,,246.64,410.93,412.92,633.46
reclaim,0.25,2.5,85,1412,114,0.3157894736842105,241.67735607085908,-69.99998356707258,3.4525344686586776,28.424439476484807,1.5934774470732358,0.017310934193706995,-0.05134743782904039,-0.06271408949259938,-0.06219951142431394,0.5159362549800797,1.4424765502688661,9,,204.72,348.0,349.93,495.99
reclaim,0.25,2.5,90,1412,74,0.3108108108108108,249.8803593800445,-69.09989918267661,3.616218870586857,30.042613613844804,1.6308438043823081,0.01203394463894214,-0.034722081130692306,-0.27297906693003454,-0.24842727485785057,0.42828685258964144,0.9713230549273549,9,,133.58,236.27,237.58,301.92
reclaim,0.25,3.0,70,1412,145,0.35172413793103446,212.94318929359167,-72.78097159489897,2.925808554450739,27.7151125796736,1.5874067689041245,0.02130565181604549,-0.04448117317443501,0.04699168554433418,0.0571459949945861,0.6049136786188579,1.8710902975596082,10,,260.06,449.84,452.24,826.4
