,0
2019-10-16,35904.93823167032
2019-10-17,36069.89043101083
2019-10-18,36248.967281992656
2019-10-21,36417.82804389955
2019-10-22,36436.71435033509
2019-10-23,36562.806990566205
2019-10-24,36600.5536970244
2019-10-25,36255.33224433257
2019-10-28,35937.30049253157
2019-10-29,35979.31421758484
2019-10-30,36229.22041728746
2019-10-31,36237.83848168582
2019-11-01,36272.980142442626
2019-11-04,36045.50321492745
2019-11-05,35700.41969407768
2019-11-06,35784.136261667605
2019-11-07,35589.06773438581
2019-11-08,35583.88215053482
2019-11-11,35538.37518780196
2019-11-12,35528.956096991555
2019-11-13,35849.862806703946
2019-11-14,35997.7392400495
2019-11-15,36192.5359170273
2019-11-18,36319.16359086931
2019-11-19,36336.914188657815
2019-11-20,36343.198214512144
2019-11-21,36077.74488606974
2019-11-22,35997.30173319073
2019-11-25,36141.35087359645
2019-11-26,36359.98190219671
2019-11-27,36486.283083037546
2019-11-29,36391.94208627671
2019-12-02,35921.862791776475
2019-12-03,35554.121559488005
2019-12-04,35774.635614606676
2019-12-05,35898.31113959011
2019-12-06,36318.43557840246
2019-12-09,36172.15171207708
2019-12-10,36175.7510785307
2019-12-11,36293.193106131264
2019-12-12,36748.89160745291
2019-12-13,36826.81004961554
2019-12-16,37103.74708040714
2019-12-17,37130.231243251634
2019-12-18,37086.31039532493
2019-12-19,37248.7879381883
2019-12-20,37385.51645644015
2019-12-23,37425.62690279584
2019-12-24,37464.73150410088
2019-12-26,37737.209148545575
2019-12-27,37692.62458712563
2019-12-30,37501.07870443981
2019-12-31,37605.05784021876
2020-01-02,38171.730717512
2020-01-03,37777.019103808794
2020-01-06,37879.964752011634
2020-01-07,37790.57223606532
2020-01-08,38102.566766565054
2020-01-09,38432.68550780771
2020-01-10,38274.83210155719
2020-01-13,38668.88081885266
2020-01-14,38532.3862309241
2020-01-15,38481.69503584573
2020-01-16,38890.034282557244
2020-01-17,39079.242545454676
2020-01-21,38958.89726650402
2020-01-22,39078.01403320449
2020-01-23,39147.63923343854
2020-01-24,38811.16446230026
2020-01-27,38035.808396426684
2020-01-28,38621.47557770924
2020-01-29,38654.34370268115
2020-01-30,38973.62656633999
2020-01-31,38139.37307540973
2020-02-03,38488.64907223394
2020-02-04,38990.423785867046
2020-02-05,39162.44467794699
2020-02-06,39398.075508257425
2020-02-07,39179.51820731625
2020-02-10,39563.71246495377
2020-02-11,39569.49185016744
2020-02-12,39850.294403653126
2020-02-13,39945.96193134407
2020-02-14,40131.30279440044
2020-02-18,40198.706907274485
2020-02-19,40341.39709067383
2020-02-20,40124.47047777453
2020-02-21,39543.0778944086
2020-02-24,38336.302056042616
2020-02-25,37311.5640742691
2020-02-26,37306.16680490057
2020-02-27,35453.37011209812
2020-02-28,35157.883167372514
2020-03-02,37130.12315123324
2020-03-03,36110.95584071537
2020-03-04,37812.83220679296
2020-03-05,36837.687619445576
2020-03-06,36271.12407256925
2020-03-09,33855.79727307937
2020-03-10,35327.93338682433
2020-03-11,33666.73498775053
2020-03-12,30409.660791208036
2020-03-13,33009.82791744294
2020-03-16,28922.055716614883
2020-03-17,31542.947252509308
2020-03-18,30369.293002468883
2020-03-19,29877.486699138586
2020-03-20,28240.963800748825
2020-03-23,27681.409001118285
2020-03-24,30332.85560059629
2020-03-25,30503.007589654695
2020-03-26,32534.836508071396
2020-03-27,31730.456790650063
2020-03-30,32951.94689422981
2020-03-31,32209.71507127145
2020-04-01,32211.469336240996
2020-04-02,32216.76186171646
2020-04-03,32240.5652138884
2020-04-06,32095.147339134768
2020-04-07,31952.372178264057
2020-04-08,31912.707810988177
2020-04-09,31981.451494589008
2020-04-13,31912.707810988177
2020-04-14,31955.012526243765
2020-04-15,32240.565213888396
2020-04-16,32274.92759207598
2020-04-17,32190.32289337121
2020-04-20,32274.92759207598
2020-04-21,32364.829548062626
2020-04-22,32264.3567365443
2020-04-23,32285.510277123703
2020-04-24,32293.438418772465
2020-04-27,32121.581575673594
2020-04-28,32261.716388564593
2020-04-29,32245.84117804141
2020-04-30,32169.169352791818
2020-05-01,31242.73886036354
2020-05-04,31497.0474391177
2020-05-05,31988.23603294794
2020-05-06,32031.112850913814
2020-05-07,32327.62030347119
2020-05-08,32688.912221719438
2020-05-11,33046.175316349225
2020-05-12,32420.344992617232
2020-05-13,31981.678709299547
2020-05-14,32355.4142958101
2020-05-15,32570.910317120542
2020-05-18,33128.92424681701
2020-05-19,32927.826659925544
2020-05-20,33400.59602357854
2020-05-21,33041.77910431892
2020-05-22,33143.163932123105
2020-05-26,33081.92603363075
2020-05-27,33319.25028349986
